gene_a,gene_b,phi,n11,p_adj
aadA1,catA1,0.1544,46,4.5490492752331335e-11
aac(3)-IId,ble,0.1538,24,1.8188024928698337e-08
aadT,sul2,0.153,52,3.620460334044427e-13
blaADC,blaOXA-51,0.1525,30,2.517640855533783e-09
ble,mph(E),0.1516,133,2.1755969895051137e-12
aadA2,blaADC-11,0.1509,12,1.9032320092807372e-06
aadA5,parC_E88K,0.1508,8,1.865132534458657e-05
tet(39),tet(X5),0.1504,8,1.6540026315313248e-05
aacA16,blaOXA-66,0.1501,44,1.399513131883527e-13
blaOXA-23,sul2,0.1501,588,1.56559801194613e-12
dfrA45,mph(E),0.1499,36,6.411945942130774e-14
aac(6')-Ib3,sul1,0.1499,36,1.130959859137797e-12
aph(3')-VIa,parC_S84L,0.1496,290,1.7142738566914165e-13
dfrA45,msr(E),0.1491,36,8.001751263547441e-14
dfrA45,sul2,0.1488,36,8.580677940642675e-14
ant(2'')-Ia,blaOXA,0.1485,33,1.1329189541115247e-08
cmlA5,sat2,0.1485,10,6.575887802823646e-06
aacA16,tet(B),0.1475,44,3.0474790897793093e-13
aac(3)-Ia,dfrA1,0.1468,24,2.713776857623316e-08
aac(6')-Ian,blaOXA-239,0.1463,11,3.858989316546776e-06
blaOXA-235,catB8,0.1459,21,2.9665896225149744e-08
aac(6')-Ib',blaOXA-235,0.1456,21,3.1047248610950816e-08
blaOXA-58,tet(39),0.1455,16,7.989424539753338e-07
aph(3'')-Ib,cmlA5,0.1452,77,3.235979314458406e-13
arr-2,blaOXA-23,0.1448,77,7.745536606321165e-13
ble,msr(E),0.1438,131,3.120241023933626e-11
aac(6')-Ian,parC_S84L,0.1438,125,3.312226954127815e-14
blaADC-79,tet(A),0.1435,6,0.0001450768284402155
aacA16,blaADC-30,0.1432,30,4.463454525807244e-09
blaOXA-23,blaPER-7,0.1432,64,5.379234552161469e-13
aac(6')-Ib3,blaOXA-69,0.1426,12,3.858989316546776e-06
blaOXA-23,cmlA5,0.1421,75,2.3607595845325302e-12
aph(6)-Id,cmlA5,0.1419,76,1.6379077032999152e-12
aac(6')-Ian,gyrA_S81L,0.1415,133,5.378410871343833e-17
blaOXA-69,fos,0.1415,19,5.58707906573877e-07
blaADC-25,blaOXA-66,0.1404,64,4.8900175184150565e-11
blaOXA-239,sul2,0.1402,32,3.010153591660551e-12
adeC,catA1,0.1394,68,7.018404454399228e-13
aac(3)-IId,sul2,0.1393,58,1.0337057154260916e-10
aph(3'')-Ib,arr-2,0.1388,77,6.10155284386274e-12
aadA5,blaNDM-1,0.1386,14,2.169980169579739e-06
aph(3'')-Ib,blaADC-25,0.1385,72,5.05130540185623e-12
aac(6')-Ib4,sul1,0.1377,27,2.901980911169948e-11
aadA5,ble,0.1366,14,2.7745264346088607e-06
aph(3')-VIa,aph(6)-Id,0.1365,241,1.1468310851852919e-10
aac(3)-Ia,blaADC-11,0.1358,23,2.486189857459916e-07
aph(6)-Id,arr-2,0.1356,76,2.6288992603638603e-11
aadT,ant(2'')-Ia,0.1353,18,1.4082996926601913e-06
aac(6')-Ib4,aph(3')-VIa,0.135,16,7.314101044885189e-07
aac(3)-Ia,parC_S84L,0.135,266,4.588770744746591e-11
dfrA1,sul2,0.1342,43,3.657961424826701e-10
aph(3'')-Ib,aph(3')-VIa,0.1337,241,2.797706885902435e-10
aadA5,mph(E),0.1335,33,1.9024004782009241e-10
aacA16,aph(6)-Id,0.1333,46,1.0601631035628462e-12
adeC,blaADC-11,0.1333,51,4.915679726913545e-13
adeS_H189Y,tet(B),0.1332,65,5.055267740954116e-10
aadA5,msr(E),0.1328,33,2.3174835616906321e-10
aac(6')-Ib4,blaCARB-2,0.1327,4,0.001566477248708148
aacA16,aph(3'')-Ib,0.1324,46,1.4145455597828332e-12
aph(3')-Ia,blaADC-73,0.1318,160,2.3452137788395767e-09
aadA5,floR,0.131,9,5.6202613617782015e-05
ant(2'')-Ia,blaADC-11,0.1304,16,4.443727376268166e-06
ant(2'')-Ia,sul1,0.1302,110,3.31028879020671e-09
aadT,blaCARB-2,0.1301,6,0.0003565337393711344
blaADC-25,blaTEM-1,0.1301,47,2.3046643243533864e-08
aph(3')-VIa,dfrA1,0.1297,23,6.521861178201773e-07
adeC,blaOXA-69,0.1295,110,3.750558054149988e-10
dfrA1,tet(X5),0.1286,5,0.0008104106798912352
adeC,tet(A),0.1279,47,5.344359821231831e-12
blaADC-25,tet(B),0.1276,62,3.09208854473485e-09
blaCARB-2,sul1,0.1269,27,4.3262137401216665e-09
blaOXA-58,sul2,0.1266,64,6.930569814892821e-09
aacA16,adeC,0.1265,46,9.759966002008511e-12
aac(6')-Ib3,tet(A),0.1265,6,0.000468652716075924
adeS_H189Y,aph(6)-Id,0.1254,71,1.16938994942506e-09
aac(6')-Ib4,blaOXA-120,0.1253,4,0.00226011176878144
ant(2'')-Ia,blaCARB-2,0.1251,11,3.29641890680888e-05
adeS_H189Y,aph(3'')-Ib,0.1241,71,1.6879915729555718e-09
sul2,tet(X5),0.1237,25,1.5504546474784888e-09
aph(3')-VI,blaOXA-120,0.1235,8,0.00017801025166316596
blaADC-30,ftsI_T526S,0.1229,26,6.016891193499338e-07
aadA2,adeS_N125K,0.1226,10,8.916305949169656e-05
aac(3)-IIe,aph(3'')-Ib,0.1219,82,4.991038768251116e-09
ant(2'')-Ia,blaCARB-16,0.1216,15,1.8627808946889373e-05
adeS_N125K,aph(3')-VIa,0.1214,22,3.1708145483527e-06
blaOXA-402,sul2,0.1208,32,2.045163013693107e-08
ant(2'')-Ia,blaOXA-100,0.1204,10,7.705510652040849e-05
blaADC-152,blaOXA-72,0.1203,7,0.0003915545064609946
ant(2'')-Ia,blaOXA-82,0.12,17,1.583745275641218e-05
blaOXA-65,sul2,0.1197,75,5.198636361074743e-08
aac(3)-IId,aac(6')-Ib4,0.119,6,0.0007580239449665186
aadA5,sul2,0.1183,31,4.4083663985254796e-08
blaADC-11,sul1,0.1183,39,1.1556878906464779e-07
ant(2'')-Ia,blaOXA-58,0.1177,21,1.1881859590667892e-05
blaOXA-66,blaOXA-72,0.1174,62,7.831449742224208e-08
blaOXA-82,parC_S84L,0.1174,62,4.21744656385416e-11
adeS_H189Y,blaPER-7,0.1173,11,0.00011321357427704739
aph(3')-VIa,blaOXA-104,0.1173,28,3.7868392452444853e-06
adeS_G336S,aph(3')-VIa,0.1173,28,3.7868392452444853e-06
aadT,aph(3')-VIa,0.1172,24,5.385067159767594e-06
aac(6')-Ib3,blaOXA-58,0.1171,8,0.0003274418998507054
aadA2,gyrA_S81L,0.1166,92,1.2938876029899983e-11
blaOXA-68,sul2,0.1164,43,1.1662378896255222e-07
adeS_N125K,sul2,0.1163,40,1.1556878906464779e-07
aadT,tet(X5),0.1161,5,0.0017321581263203803
aph(6)-Id,blaPER-1,0.116,35,1.2670155620469435e-09
aph(3'')-Ib,blaPER-1,0.1152,35,1.578076540988121e-09
aac(3)-IIe,aph(6)-Id,0.1149,80,5.0414253756864426e-08
aadT,msr(E),0.1148,45,1.9334915834150943e-07
aadT,floR,0.1147,11,0.0001450768284402155
aac(3)-Ia,blaPER-1,0.1143,16,2.429878884828107e-05
blaCARB-2,blaPER-1,0.1137,4,0.0041352531502295425
aph(3')-VI,blaADC-176,0.1137,8,0.00043323554834403757
blaADC-33,parC_S84L,0.1125,57,3.4307350268104396e-10
aac(3)-IIe,gyrA_S81L,0.1121,98,6.90110928755313e-10
aph(6)-Id,blaADC-25,0.1116,66,1.0967061659196218e-07
aac(3)-IIe,tet(B),0.1116,70,3.6315523927163014e-07
aac(3)-Ia,blaADC-176,0.1114,16,3.7929970691905994e-05
aph(6)-Id,blaOXA-239,0.1108,32,8.591410950183025e-09
blaNDM-1,sat2,0.1107,13,0.00010885328984284467
adeC,blaOXA-82,0.1102,55,7.774327985583054e-08
aadT,mph(E),0.1102,44,6.988276574585379e-07
aph(3'')-Ib,blaOXA-239,0.1101,32,1.0495930215042196e-08
adeS_G336S,blaOXA-51,0.1101,9,0.0004417483813361861
blaADC-30,blaOXA-235,0.1094,21,1.2401038804599757e-05
blaADC-76,sul2,0.109,44,9.227751792864608e-07
ble,sat2,0.1089,13,0.00013433924000124037
ant(2'')-Ia,blaADC,0.1087,54,5.435216746569953e-06
blaOXA-235,parC_E88K,0.108,6,0.0017321581263203803
adeS_H189Y,parC_S84L,0.1075,77,4.499869699299652e-08
aph(3')-Ia,blaADC-152,0.1072,23,4.914519456340847e-06
aadA5,aph(3')-VIa,0.1072,16,6.437204267054295e-05
blaOXA-72,sul1,0.1071,55,2.013497026544832e-06
aac(6')-Ib4,blaADC,0.107,14,7.807404572305379e-05
aac(6')-Ian,aadA5,0.107,9,0.0005276608499950473
blaOXA-23,dfrA45,0.1069,34,1.5097589021493264e-07
blaOXA-72,floR,0.1064,13,0.00022992459560373764
blaADC-52,blaCARB-2,0.1063,4,0.006142222946576355
blaOXA-402,parC_E88K,0.1059,6,0.002013743754921319
aac(6')-Ib4,mph(E),0.1053,24,1.797967228597929e-06
blaOXA-69,sul1,0.1052,79,2.8024954707551766e-06
adeS_N125K,parC_S84L,0.1052,50,6.359979965393461e-09
ant(2'')-Ia,blaADC-79,0.105,10,0.0004295367325511515
aacA16,sul1,0.1048,34,3.858989316546776e-06
mph(E),tet(39),0.1048,61,2.6957404374523316e-06
aac(6')-Ib4,msr(E),0.1046,24,2.0460694739854935e-06
aac(3)-Ia,blaOXA-82,0.1042,22,6.002104308189374e-05
aph(6)-Id,dfrA45,0.1039,34,3.297222315979446e-07
aadA5,blaCARB-16,0.1038,5,0.0038925752354055207
aph(6)-Id,blaPER-7,0.1038,57,9.894966990602584e-07
msr(E),tet(39),0.1037,61,3.4569557520806758e-06
aac(6')-Ian,blaOXA,0.1032,21,0.00010710117549211997
aph(3'')-Ib,dfrA45,0.1031,34,4.028884134281859e-07
blaNDM-1,dfrA1,0.103,14,0.000241790588934026
arr-2,gyrA_S81L,0.1029,85,2.504084689310512e-08
aph(3'')-Ib,blaPER-7,0.1027,57,1.3142891719507607e-06
aac(3)-IId,blaOXA-68,0.1024,8,0.0012496323092593424
adeC,blaADC-33,0.1024,50,8.467771408151804e-07
aac(3)-Ia,aph(3')-VIa,0.102,77,1.3076993210432184e-05
aph(6)-Id,blaOXA-235,0.102,33,5.918474197188128e-07
aac(6')-Ib4,tet(39),0.102,6,0.002572107739354086
aac(3)-Ia,aph(6)-Id,0.1019,212,2.802897443577981e-06
aph(3')-VIa,blaOXA-23,0.1016,222,3.12515170884681e-06
aadA2,aph(3')-VIa,0.1016,30,5.168822253078577e-05
cmlA5,gyrA_S81L,0.1015,83,4.2936708524482016e-08
aph(3'')-Ib,blaOXA-235,0.1012,33,7.158078767526999e-07
blaOXA-23,blaOXA-95,0.1012,47,2.0453779012986576e-06
aadA1,blaOXA-69,0.1011,59,1.5466206546019936e-05
blaCARB-16,blaOXA,0.1009,11,0.0006030587348626088
blaPER-7,gyrA_S81L,0.1005,69,1.1673040534443884e-08
blaOXA-58,tet(A),0.1002,8,0.0014968271249582393
ant(2'')-Ia,gyrA_S81L,0.1001,166,7.992066472588468e-07
adeS_H189Y,gyrA_S81L,0.1,81,7.367657536758023e-08
blaCARB-2,blaOXA-58,0.1,6,0.0030262450300501983
blaOXA,floR,0.0996,17,0.00027381104209349427
aac(6')-Ian,blaPER-7,0.0996,13,0.00048271479288472335
aac(3)-Ia,aph(3'')-Ib,0.0992,212,5.276317105130086e-06
adeS_H189Y,cmlA5,0.0991,11,0.0007808099493696467
aac(6')-Ib3,blaOXA-65,0.099,8,0.0016073012394774466
aadT,blaOXA-120,0.0987,5,0.0053921257079613824
blaOXA-64,sul2,0.0986,81,1.0652233588785139e-05
aph(3')-VIa,blaOXA-69,0.0985,39,6.0687427415894314e-05
ant(2'')-Ia,blaADC-33,0.0982,14,0.0004541858095080586
aac(6')-Ian,aph(3'')-Ib,0.0974,97,7.265787403028287e-06
gyrA_S81L,parC_E88K,0.0974,65,3.775535277058362e-08
adeS_H189Y,arr-2,0.0972,11,0.0009548166599794369
aac(3)-IId,blaADC-76,0.097,8,0.0020136544636537653
blaPER-1,sul2,0.097,28,1.7059841174518526e-05
blaCARB-2,tet(39),0.0969,6,0.0038111935842541442
aph(3')-Ia,tet(X5),0.0963,19,5.777979984582005e-05
aph(3')-Ia,tet(A),0.0957,30,5.143597367802124e-05
blaADC-79,blaOXA-58,0.0953,6,0.004326310739241784
blaOXA-82,gyrA_S81L,0.0951,62,9.033390743122764e-08
aac(6')-Ib3,catA1,0.0949,6,0.004572345510244547
aac(6')-Ian,floR,0.0949,16,0.0005627540171912282
sul2,tet(39),0.0945,59,2.9198552896425645e-05
aph(3')-VIa,blaADC-11,0.0944,19,0.0003170451389789264
aadT,tet(39),0.0942,9,0.0019940547477218778
blaOXA-98,sul2,0.0941,27,3.347293580688045e-05
blaOXA-402,mph(E),0.0938,28,3.80300123483983e-05
aph(3')-Ia,catA1,0.0931,41,7.206289693184008e-05
blaOXA-402,msr(E),0.093,28,4.384194861363403e-05
blaADC-199,blaOXA-23,0.0928,27,1.015966366170727e-05
blaADC-169,blaOXA-120,0.0923,4,0.013584665034371255
blaPER-7,parC_S84L,0.0923,63,5.266169612298292e-06
dfrA1,tet(39),0.0922,8,0.0030415662407252114
blaADC-169,parC_E88K,0.0918,6,0.005825230389451571
aac(6')-Ian,aph(6)-Id,0.0917,95,2.9371827619691215e-05
blaADC-33,gyrA_S81L,0.0911,57,3.953324484474799e-07
blaOXA-58,sul1,0.091,53,7.472792390815777e-05
ble,dfrA1,0.0907,13,0.001227183757280335
blaOXA-95,gyrA_S81L,0.0903,56,5.300830675833512e-07
aadA2,adeS_G336S,0.0896,10,0.0025154011537998305
blaOXA-58,tet(X5),0.089,5,0.01006996505444273
blaADC-169,sul2,0.0887,32,0.00011276207630768377
blaADC-222,gyrA_S81L,0.0886,54,9.401844566355416e-07
blaOXA-58,blaOXA-68,0.0884,8,0.004284489649568721
aac(6')-Ib4,sul2,0.0883,22,0.00012234354660557275
adeS_G336S,sat2,0.0879,6,0.00782389764472266
aadT,blaOXA-100,0.0872,4,0.018081208832720613
adeS_G336S,sul2,0.0871,48,0.0001450768284402155
blaADC-25,gyrA_S81L,0.087,76,1.0032205237262967e-05
blaCARB-2,blaOXA-91,0.087,4,0.018369269383471335
floR,mph(E),0.0869,61,0.0001450768284402155
aph(3')-VIa,blaADC-76,0.0866,20,0.0008976172940915866
aac(6')-Ian,ant(2'')-Ia,0.0864,23,0.000926842682283838
blaADC-26,fos,0.0862,14,0.0019917078832173054
blaADC-176,blaNDM-1,0.0861,10,0.0031184059083164905
aac(3)-IIe,dfrA1,0.0861,8,0.005184079778596304
floR,msr(E),0.0857,61,0.00018051524213200508
adeS_N125K,gyrA_S81L,0.0852,50,3.0005050497109803e-06
aac(3)-IId,blaOXA-120,0.085,5,0.013552371746303436
ant(2'')-Ia,ble,0.0842,31,0.0008812450813763426
aadA2,blaPER-1,0.0841,6,0.010245161190488811
aph(3')-VI,floR,0.0839,12,0.003304688500133591
blaOXA-239,parC_S84L,0.0838,32,1.0811996342448644e-05
blaADC-76,blaOXA-58,0.0833,8,0.0067687315310328705
ant(2'')-Ia,aph(3')-VI,0.0829,18,0.00200150674583734
blaOXA-235,sul2,0.0828,26,0.00038194925630737135
aadA2,blaOXA-69,0.0827,14,0.002979553433104946
blaADC-30,tet(X5),0.0824,14,0.0016873872980567113
blaADC-158,sul2,0.0821,23,0.00044702300660339844
aac(3)-Ia,blaADC-33,0.082,18,0.001957877583432805
adeC,blaOXA-235,0.082,31,0.00014884680370454593
aacA16,sul2,0.0817,32,0.0004551289932868934
aacA16,gyrA_S81L,0.0816,46,9.580019250716621e-06
sat2,tet(X5),0.0814,3,0.04272545521504183
blaTEM-1,tet(A),0.0813,25,0.0009832586669864174
aac(6')-Ian,cmlA5,0.0813,13,0.0038582993545550484
aph(3')-Ia,sat2,0.0812,25,0.0008247217708215287
blaADC-152,parC_S84L,0.0811,30,2.4634899114333453e-05
blaOXA-120,ble,0.0811,9,0.0060186862489821835
blaADC-76,blaCARB-2,0.0808,4,0.026520782828970697
blaOXA-72,gyrA_S81L,0.0806,79,7.730078112575086e-05
blaOXA-98,floR,0.0806,6,0.013306239537291825
aph(3')-Ia,blaADC-25,0.0806,42,0.0007133166436934284
aph(3')-Ia,dfrA1,0.0805,29,0.0008573587708070036
blaCARB-16,parC_S84L,0.0804,46,0.00010556230942179341
adeS_N125K,aph(6)-Id,0.0804,40,0.00030979064798238086
blaOXA,tet(X5),0.0798,6,0.013584665034371255
blaADC-199,parC_S84L,0.0798,29,3.7241915832562346e-05
aac(3)-IIe,parC_S84L,0.0796,84,0.00022160407568410812
adeS_H189Y,blaOXA-23,0.0796,60,0.00040505559894275914
adeS_N125K,aph(3'')-Ib,0.0794,40,0.00037238065899037985
aac(6')-Ian,arr-2,0.0793,13,0.004795996329264527
blaOXA-23,blaOXA-402,0.0793,30,0.0003863125926703077
aadA1,ftsI_T526S,0.0791,22,0.0016393259710428501
ftsI_T526S,sat2,0.079,4,0.02979434976363312
ftsI_T526S,gyrA_S81L,0.0789,43,2.2771663407091457e-05
blaOXA-72,parC_E88K,0.0788,8,0.010069314022012724
aph(3')-VIa,blaOXA-68,0.0785,18,0.002986286155386585
blaNDM-1,sul1,0.0785,101,0.0006764442346679573
blaOXA-64,blaPER-7,0.0778,11,0.006938234303077444
blaOXA-68,parC_E88K,0.0771,6,0.01784412259957784
aadT,blaADC-79,0.077,4,0.033478201744771806
blaOXA,parC_S84L,0.0766,112,0.00047047816962133486
blaCARB-2,blaNDM-1,0.0764,8,0.011230567231472777
aph(3')-VI,blaOXA-65,0.0753,12,0.008186544138716133
blaOXA-23,ftsI_T526S,0.0752,34,0.0009263158566452683
blaCARB-2,ble,0.0751,8,0.012685144364241473
adeS_G336S,dfrA1,0.075,6,0.020921089372494803
blaADC-222,blaOXA-23,0.0749,41,0.0009971967372358933
blaADC-176,parC_S84L,0.0744,34,0.00035125678261587064
blaADC-152,sul2,0.0744,22,0.0018538556870792606
blaOXA-235,blaOXA-68,0.0741,4,0.04012876610115078
blaOXA-58,mph(E),0.0737,52,0.0017229538690085354
arr-2,parC_S84L,0.0737,73,0.0007655714200802253
dfrA1,sul1,0.0734,31,0.0022467252837245614
aadA2,blaOXA-23,0.0731,64,0.0014172172094533968
aph(6)-Id,tet(X5),0.073,22,0.0011993764670955485
blaOXA-58,msr(E),0.0726,52,0.0020399222826599805
aph(3'')-Ib,tet(X5),0.0724,22,0.0013449851751629884
dfrA45,gyrA_S81L,0.0721,36,0.00017097661122682662
blaCARB-2,blaPER-7,0.0721,4,0.04526439866155609
parC_E88K,sul1,0.0717,38,0.0027699435606546845
blaOXA-72,catA1,0.0717,8,0.01873541758229569
blaOXA-104,fos,0.0715,8,0.019152729270085576
dfrA1,floR,0.0715,7,0.0222855926487641
blaCARB-2,msr(E),0.0713,21,0.0031750459007969596
cmlA5,parC_S84L,0.0712,71,0.0012483536496174176
blaPER-1,gyrA_S81L,0.071,35,0.0002276596568012013
aadA5,gyrA_S81L,0.071,35,0.0002276596568012013
blaOXA-235,gyrA_S81L,0.071,35,0.0002276596568012013
blaOXA-235,blaOXA-66,0.0708,25,0.0030755446769276263
blaOXA-23,sat2,0.0707,32,0.0021722140817620962
aph(3')-Ia,blaOXA-72,0.0704,42,0.003659693690153929
blaOXA-69,cmlA5,0.0702,12,0.013607629418909745
ant(2'')-Ia,blaOXA-65,0.0697,18,0.009828769030441695
aac(3)-IIe,blaOXA-23,0.0697,68,0.002529554437131425
blaOXA-58,catA1,0.0694,8,0.02296724259895239
aadT,blaPER-7,0.0691,6,0.033015581808833044
blaOXA-235,tet(B),0.0686,25,0.0042495882198363005
adeC,blaOXA-72,0.0686,62,0.0028479274413508635
arr-2,blaOXA-69,0.0683,12,0.016475557211696936
blaOXA-239,gyrA_S81L,0.0679,32,0.0005322980085114472
blaADC-76,tet(B),0.067,38,0.005070408037483469
ble,sul1,0.0669,99,0.004634256366225447
adeS_N125K,ant(2'')-Ia,0.0668,10,0.022002907395215168
aadA1,blaADC-11,0.0657,23,0.010346513735761901
blaADC-152,gyrA_S81L,0.0657,30,0.0009391509708759231
aph(6)-Id,ftsI_T526S,0.0656,33,0.005153496138305738
blaOXA-259,sul2,0.0655,32,0.006988285806224255
blaTEM-1,tet(X5),0.0655,14,0.013306239537291825
armA,sul2,0.0652,384,0.004945111099651265
aac(3)-Ia,blaOXA-23,0.0652,193,0.005010668985725501
dfrA1,gyrA_S81L,0.0649,47,0.0023362831306266403
aph(3'')-Ib,ftsI_T526S,0.0647,33,0.00593773219564788
blaADC-199,gyrA_S81L,0.0646,29,0.0012483536496174176
blaNDM-1,floR,0.0644,17,0.018413875345811875
ant(2'')-Ia,floR,0.0643,16,0.019466069190009774
blaADC-169,mph(E),0.0643,28,0.008798581186241267
ant(2'')-Ia,blaNDM-1,0.0641,27,0.014018657874857895
armA,ftsI_T526S,0.0637,25,0.011024867777421204
blaADC-169,msr(E),0.0635,28,0.009809231124547235
ftsI_A515V,sul2,0.0633,178,0.007202081278254317
aac(6')-Ian,tet(B),0.0629,75,0.008495351876891462
blaADC,blaOXA-235,0.0629,12,0.024996393675639196
aph(6)-Id,blaOXA-402,0.0625,28,0.008741232684075005
ble,floR,0.0625,17,0.022373547324074754
gyrA_S81L,sat2,0.0621,39,0.0038190881003505915
aac(3)-Ia,blaADC-25,0.0618,20,0.020970277049838268
aph(3'')-Ib,blaOXA-402,0.0616,28,0.009857896417905725
blaOXA-64,cmlA5,0.0616,11,0.034260524651243664
blaOXA-66,ftsI_T526S,0.0613,28,0.013104106050036967
ftsI_T526S,mph(E),0.0612,27,0.013751152708437695
catB8,ftsI_T526S,0.0607,14,0.028308630564348312
blaADC,blaOXA-91,0.0607,16,0.026506298022184384
aph(3')-VIa,tet(A),0.0606,14,0.029140556815257103
ftsI_T526S,msr(E),0.0605,27,0.01519946123287282
blaOXA-23,dfrA1,0.0605,36,0.011943722800413573
blaADC-176,ble,0.0601,8,0.04919643876451937
gyrA_S81L,tet(X5),0.0599,25,0.0038298633116878303
dfrA45,parC_S84L,0.0599,32,0.008818189480247705
arr-2,blaOXA-64,0.0598,11,0.04064427030993368
aac(3)-Ia,catB8,0.0593,70,0.016714457622675948
aph(3')-VI,aph(3')-VIa,0.0586,24,0.027247773048069922
blaCARB-16,gyrA_S81L,0.0582,46,0.00955684026123938
aadT,blaADC,0.0581,17,0.03402398640336933
floR,parC_S84L,0.0575,79,0.01441576162023327
ftsI_T526S,parC_S84L,0.0574,37,0.013914307780110113
blaADC,blaOXA-58,0.0569,23,0.03361104363130141
sat2,sul1,0.0568,24,0.02660845722778123
blaOXA-66,blaPER-1,0.0567,23,0.02581795993217211
parC_S84L,tet(X5),0.0566,23,0.014843557069199084
blaOXA-95,sul1,0.0565,31,0.026164584779765993
blaADC,blaOXA-104,0.0564,20,0.03770621300644426
blaOXA-402,gyrA_S81L,0.0562,34,0.012364378237746105
blaADC-176,gyrA_S81L,0.0562,34,0.012364378237746105
blaPER-1,sul1,0.0561,21,0.030262773254710038
blaOXA-66,sul2,0.0558,449,0.019583873050548668
catA1,parC_S84L,0.0543,58,0.023330616352617167
floR,gyrA_S81L,0.0542,86,0.020980381757861575
adeC,blaPER-1,0.0539,27,0.03029050221613257
blaADC-76,blaOXA-23,0.0524,40,0.03670084714463394
blaOXA-68,tet(B),0.0509,33,0.04919643876451937
