gene_a,gene_b,phi,n11,p_adj
blaOXA-239,blaOXA-65,0.4586,28,9.289153007809292e-34
blaOXA-66,ftsI_A515V,0.4582,353,1.765980438570926e-122
aac(3)-IId,blaOXA-402,0.4571,24,1.312182185108055e-28
blaOXA-23,mph(E),0.4555,762,1.3940891463755084e-112
blaOXA-23,blaOXA-66,0.4552,790,4.763976934726036e-112
blaOXA-402,floR,0.4545,28,2.353382809173928e-32
blaTEM-1,tet(B),0.4538,525,3.316169499937008e-110
aph(3')-Ia,blaOXA-66,0.4535,578,6.599483638073963e-109
parC_S84L,tet(B),0.4534,937,2.7580439348346124e-117
floR,tet(X5),0.4509,23,8.084603515759544e-30
aac(6')-Ib4,aadA5,0.4483,14,2.7442323641444806e-19
blaADC-73,blaOXA-66,0.4481,328,7.92737976866165e-120
aph(3'')-Ib,blaOXA-23,0.4457,911,1.687570769771022e-106
blaADC-30,sul1,0.4449,417,6.656781060015113e-102
aac(6')-Ib',mph(E),0.4444,347,2.7716106213585668e-108
aph(6)-Id,blaTEM-1,0.4444,581,2.27280348304507e-113
aac(6')-Ian,blaOXA-64,0.4425,63,9.883291030923843e-48
blaOXA-66,catB8,0.4421,355,7.788744089947607e-111
aac(3)-Ia,sul1,0.442,297,3.437629918231741e-105
aac(6')-Ib',msr(E),0.4417,347,3.329487318516841e-107
aac(6')-Ib',blaOXA-66,0.4406,355,6.616042477520449e-110
aph(6)-Id,blaOXA-23,0.4406,904,4.788818823367628e-104
catB8,mph(E),0.4388,344,2.981145888246137e-105
catB8,msr(E),0.4385,345,1.835029768105165e-105
aph(3'')-Ib,blaTEM-1,0.4385,580,2.0630749981796237e-110
adeC,parC_S84L,0.4382,1112,2.855785185386121e-102
mph(E),tet(B),0.437,674,2.2737375973040624e-101
blaOXA-95,parC_E88K,0.4332,27,1.0336844514672455e-28
msr(E),tet(B),0.432,674,4.577754360593536e-99
gyrA_S81L,mph(E),0.4295,940,3.6625945288230355e-117
armA,gyrA_S81L,0.4287,846,4.8719451947195785e-132
gyrA_S81L,msr(E),0.4262,943,2.239178898713526e-114
blaADC-169,tet(39),0.4255,28,1.6318895377634762e-29
blaADC-25,blaPER-1,0.4226,23,4.4937549760704567e-26
blaOXA-69,tet(A),0.4221,35,1.580867556042073e-34
adeC,aph(3'')-Ib,0.4196,943,5.591136782917915e-94
aph(3')-Ia,catB8,0.419,295,8.691144346052467e-86
adeC,aph(6)-Id,0.4168,937,1.0128606289551362e-92
aadA2,blaOXA-95,0.4146,31,3.466546336618058e-30
blaADC-277,blaOXA-64,0.4145,26,1.4563080672370348e-30
armA,blaTEM-1,0.4145,445,2.804694886572634e-87
aadA1,blaOXA-66,0.4117,473,8.836397317761032e-90
ftsI_A515V,msr(E),0.4114,325,7.133172599501673e-92
aac(6')-Ib',aph(3')-Ia,0.4105,292,2.986013109139316e-82
adeC,aph(3')-Ia,0.4103,651,1.5346477676400346e-94
aac(3)-IId,blaADC-169,0.4097,24,1.4536942841676002e-25
ftsI_A515V,mph(E),0.4093,323,1.6850696698151028e-90
blaADC-73,tet(B),0.4089,315,2.5815647644558904e-96
aph(3'')-Ib,sul2,0.4081,754,4.584213945787578e-90
blaADC-222,parC_E88K,0.4072,25,7.621014129988442e-26
msr(E),parC_S84L,0.4072,867,1.4821071513901424e-94
blaADC-169,floR,0.4066,28,2.313412252758653e-28
armA,parC_S84L,0.4065,779,3.7083262619637946e-98
mph(E),parC_S84L,0.4039,861,4.581703541017368e-93
ftsI_A515V,tet(B),0.4034,333,2.5397563317994704e-91
adeC,blaTEM-1,0.4006,574,2.9814447713661642e-92
aac(3)-IId,floR,0.4,36,1.6362243435370677e-31
aac(6')-Ib4,blaOXA-58,0.3995,20,2.738135578854804e-23
aph(6)-Id,sul2,0.3981,745,1.5996711834328273e-85
blaADC-73,msr(E),0.3979,300,2.04232783635452e-86
gyrA_S81L,sul1,0.3964,869,2.1961400618824018e-100
blaADC-73,mph(E),0.3955,298,6.444541207942604e-85
aac(3)-IId,aadT,0.3948,27,2.822384330644645e-26
blaOXA-23,ftsI_A515V,0.3939,359,2.134259341774113e-99
blaADC-26,blaOXA-64,0.3909,59,1.1320001492867623e-39
adeC,sul1,0.3884,718,1.5363263666795968e-82
blaADC-73,blaOXA-23,0.381,331,5.001484456923899e-95
aac(3)-IId,blaOXA-58,0.3783,32,9.69103921036663e-28
blaADC-30,tet(B),0.3773,420,8.989820233871671e-76
adeC,blaOXA-23,0.3733,895,3.226032759934767e-74
aadA5,blaOXA-72,0.3715,21,7.096358153165998e-22
floR,tet(39),0.3708,38,9.020961206616611e-30
aph(3')-Ia,tet(B),0.3688,538,1.2936117259920795e-71
aph(3')-Ia,armA,0.3681,470,2.0179059468418082e-69
adeC,catB8,0.3669,371,8.629244504333288e-88
aac(6')-Ib',adeC,0.363,370,3.8140739566973357e-85
aph(3')-VI,blaADC-52,0.3584,23,2.4444601142349963e-22
aadA1,armA,0.3537,394,2.4242144946942682e-63
blaTEM-1,msr(E),0.3518,452,2.4359646515852958e-64
blaADC-152,blaCARB-16,0.3511,14,6.529290728263678e-16
blaTEM-1,parC_S84L,0.3497,609,1.694041947855089e-75
aph(3')-Ia,blaADC-30,0.3496,336,2.3308538808205884e-60
blaTEM-1,ftsI_A515V,0.3487,236,1.0861841412471014e-56
aph(3'')-Ib,ftsI_A515V,0.3481,345,1.940906418416035e-74
blaADC-73,blaTEM-1,0.348,222,3.5350197582319892e-56
blaTEM-1,mph(E),0.3476,448,9.469184379048987e-63
blaADC-11,catA1,0.3465,22,1.4018240812957245e-20
aph(6)-Id,ftsI_A515V,0.3462,343,4.659707412999768e-73
aph(6)-Id,blaADC-30,0.3453,454,1.9854203028639326e-67
aac(3)-Ia,adeC,0.3453,319,5.3278021661944e-81
adeC,mph(E),0.3452,734,2.5811742805284213e-64
blaOXA-104,blaPER-7,0.3441,26,2.2355248669993525e-22
aph(3'')-Ib,blaADC-30,0.3438,455,5.478905946597422e-67
armA,sul1,0.3424,509,8.274906272089819e-61
aph(3')-Ia,sul1,0.3418,474,2.8145974827442883e-60
adeC,msr(E),0.3409,735,1.1640363935797713e-62
aph(3')-VI,blaCARB-16,0.3402,25,6.099745643043183e-22
aac(6')-Ib4,aph(3')-VI,0.3391,18,8.990935409602308e-19
aph(3')-Ia,gyrA_S81L,0.3373,737,3.858381548481611e-73
aph(6)-Id,blaADC-73,0.3373,317,1.9545536789196038e-70
aadA2,blaADC-222,0.3353,25,1.6442782323531818e-21
blaOXA-104,dfrA45,0.3348,18,6.5749969834578094e-18
aph(3'')-Ib,blaADC-73,0.3347,317,1.7249680355375316e-69
blaADC-30,parC_S84L,0.3346,512,4.7699640954920644e-73
armA,blaADC-30,0.3327,350,8.1461046167256055e-56
blaOXA-104,cmlA5,0.3307,28,2.3242171956418526e-22
blaTEM-1,gyrA_S81L,0.3306,643,5.93433497692189e-76
aph(3')-VI,blaOXA-91,0.3289,25,3.8885668358285075e-21
aph(3')-Ia,aph(6)-Id,0.3276,586,2.9263898420921427e-58
arr-2,blaOXA-104,0.3263,28,4.81804731467541e-22
aph(3'')-Ib,aph(3')-Ia,0.3248,587,2.4123790623923664e-57
aac(3)-IIe,blaADC-26,0.3157,42,4.719160395702826e-26
aadA2,blaCARB-2,0.3154,17,9.7195817689235e-17
blaADC-30,gyrA_S81L,0.3116,536,1.7884520652854705e-75
msr(E),sul1,0.3111,543,1.0873886964780262e-50
aadT,blaNDM-1,0.3111,37,2.3224988531877254e-25
blaADC-199,blaNDM-1,0.3106,25,9.618187641384862e-23
blaADC-152,blaOXA,0.3091,21,3.469883935930873e-19
mph(E),sul1,0.3083,539,8.90241253960214e-50
aph(3')-Ia,parC_S84L,0.3078,669,1.23963641236742e-54
blaADC-199,ble,0.3071,25,1.5899296823060506e-22
aadA1,gyrA_S81L,0.3063,595,1.6622770576276214e-64
blaADC-176,tet(A),0.304,13,2.1657034639614414e-13
ftsI_A515V,parC_S84L,0.3027,367,1.080340802936408e-68
blaADC-26,blaPER-7,0.3027,33,2.184335951953532e-22
aacA16,blaOXA-72,0.3019,20,3.9603823469080475e-17
aac(6')-Ian,blaADC-152,0.3004,20,5.311010478948695e-18
aph(3')-Ia,mph(E),0.3002,476,5.786130898167375e-47
aadT,ble,0.2978,36,1.0041490495767676e-23
adeS_G336S,blaADC,0.2967,56,1.6066260960576365e-30
blaOXA-69,catA1,0.296,32,2.1723464670626955e-21
aadA5,aadT,0.2948,14,1.1626488428124457e-13
aph(3')-Ia,msr(E),0.2945,475,2.9653305863855254e-45
adeS_N125K,blaADC,0.2924,44,3.8346220594479553e-29
blaADC-73,parC_S84L,0.2917,337,4.099443889672551e-66
blaNDM-1,cmlA5,0.2916,43,2.436723182482918e-24
aadA1,blaTEM-1,0.2916,304,8.271554081376922e-42
blaADC-11,blaADC-176,0.2907,13,6.883803141770959e-13
blaADC-30,blaTEM-1,0.2899,277,7.371944620044025e-41
blaTEM-1,catB8,0.2875,218,3.669974912110809e-39
arr-2,blaNDM-1,0.287,43,8.320118312718989e-24
adeC,blaADC-73,0.2858,304,2.5051213107970813e-49
catB8,tet(B),0.284,290,6.916934651450989e-43
blaADC-26,cmlA5,0.2835,35,4.142694915645433e-21
aac(6')-Ian,blaADC-26,0.2835,45,2.5019428889314886e-23
aac(3)-Ia,aacA16,0.2824,38,2.7060068253772383e-25
ble,cmlA5,0.2798,42,7.404611270813872e-23
blaADC-26,blaOXA-104,0.2794,32,5.221156876206515e-20
arr-2,blaADC-26,0.2792,35,1.0526245704667983e-20
aac(6')-Ib4,blaOXA-65,0.2773,16,1.7038431646434064e-14
aac(6')-Ian,sul2,0.2773,129,2.1460886303706594e-45
ant(2'')-Ia,blaOXA-95,0.2758,31,5.1960252223402037e-20
gyrA_S81L,sul2,0.2754,868,5.284425773738981e-43
arr-2,ble,0.2753,42,2.3370498440831557e-22
